Box1Compliance, Box1Material, Box2Compliance,Box2Material,Answer
Three,BoxMaterial 1 (Instance),Three,BoxMaterial 1 (Instance),1
Three,BoxMaterial 1 (Instance),Three,BoxMaterial 1 (Instance),1
Three,BoxMaterial 1 (Instance),One,BoxMaterial 1 (Instance),1
One,BoxMaterial 1 (Instance),Three,BoxMaterial 1 (Instance),1
One,BoxMaterial 1 (Instance),Three,BoxMaterial 1 (Instance),1
Three,BoxMaterial 1 (Instance),Three,BoxMaterial 1 (Instance),1
Three,BoxMaterial 1 (Instance),Four,BoxMaterial 1 (Instance),1
Three,BoxMaterial 1 (Instance),Five,BoxMaterial 1 (Instance),1
Three,BoxMaterial 1 (Instance),Three,BoxMaterial 1 (Instance),1
Three,BoxMaterial 1 (Instance),Three,BoxMaterial 1 (Instance),1
Three,BoxMaterial 1 (Instance),Four,BoxMaterial 1 (Instance),1
Four,BoxMaterial 1 (Instance),Three,BoxMaterial 1 (Instance),1
Three,BoxMaterial 1 (Instance),Two,BoxMaterial 1 (Instance),1
Three,BoxMaterial 1 (Instance),Five,BoxMaterial 1 (Instance),1
Three,BoxMaterial 1 (Instance),One,BoxMaterial 1 (Instance),1
Three,BoxMaterial 1 (Instance),Three,BoxMaterial 1 (Instance),1
Four,BoxMaterial 1 (Instance),Three,BoxMaterial 1 (Instance),1
Three,BoxMaterial 1 (Instance),One,BoxMaterial 1 (Instance),1
Three,BoxMaterial 1 (Instance),Three,BoxMaterial 1 (Instance),2
Three,BoxMaterial 1 (Instance),Four,BoxMaterial 1 (Instance),2
Three,BoxMaterial 1 (Instance),Five,BoxMaterial 1 (Instance),2
Three,BoxMaterial 1 (Instance),Five,BoxMaterial 1 (Instance),2
Three,BoxMaterial 1 (Instance),Three,BoxMaterial 1 (Instance),2
Two,BoxMaterial 1 (Instance),Three,BoxMaterial 1 (Instance),2
Three,BoxMaterial 1 (Instance),Three,BoxMaterial 1 (Instance),2
Three,BoxMaterial 1 (Instance),Four,BoxMaterial 1 (Instance),2
Three,BoxMaterial 1 (Instance),One,BoxMaterial 1 (Instance),2
Three,BoxMaterial 1 (Instance),Four,BoxMaterial 1 (Instance),2
Three,BoxMaterial 1 (Instance),Two,BoxMaterial 1 (Instance),2
Three,BoxMaterial 1 (Instance),One,BoxMaterial 1 (Instance),2
Three,BoxMaterial 1 (Instance),Five,BoxMaterial 1 (Instance),2
One,BoxMaterial 1 (Instance),Three,BoxMaterial 1 (Instance),2
Four,BoxMaterial 1 (Instance),Three,BoxMaterial 1 (Instance),2
Four,BoxMaterial 1 (Instance),Three,BoxMaterial 1 (Instance),2
One,BoxMaterial 1 (Instance),Three,BoxMaterial 1 (Instance),2
Three,BoxMaterial 1 (Instance),Three,BoxMaterial 1 (Instance),2
Three,BoxMaterial 1 (Instance),Two,BoxMaterial 1 (Instance),2
Three,BoxMaterial 1 (Instance),Two,BoxMaterial 1 (Instance),2
Three,BoxMaterial 1 (Instance),Five,BoxMaterial 1 (Instance),2
Three,BoxMaterial 1 (Instance),Two,BoxMaterial 1 (Instance),2
Four,BoxMaterial 1 (Instance),Three,BoxMaterial 1 (Instance),2
Two,BoxMaterial 1 (Instance),Three,BoxMaterial 1 (Instance),2
Three,BoxMaterial 1 (Instance),Three,BoxMaterial 1 (Instance),2
Three,BoxMaterial 1 (Instance),Five,BoxMaterial 1 (Instance),2
Three,BoxMaterial 1 (Instance),Five,BoxMaterial 1 (Instance),2
One,BoxMaterial 1 (Instance),Three,BoxMaterial 1 (Instance),2
Five,BoxMaterial 1 (Instance),Three,BoxMaterial 1 (Instance),2
Five,BoxMaterial 1 (Instance),Three,BoxMaterial 1 (Instance),2
Two,BoxMaterial 1 (Instance),Three,BoxMaterial 1 (Instance),2
Three,BoxMaterial 1 (Instance),Two,BoxMaterial 1 (Instance),2
Three,BoxMaterial 1 (Instance),Two,BoxMaterial 1 (Instance),2
Three,BoxMaterial 1 (Instance),Three,BoxMaterial 1 (Instance),2
